№	Модуль	Описание	Строк	Размер (КБ)
64	admin_panel/entity_config.py	Конфигурация универсальных сущностей админ‑панели	320	12.0
65	admin_panel/forms.py	Формы ввода, валидация и обработка полей	82	2.8
66	admin_panel/models.py	Описание моделей и структуры данных модуля	33	1.2
67	admin_panel/tests.py	Автоматизированные тесты модуля	3	0.1
68	admin_panel/urls.py	Маршрутизация URL и привязка обработчиков	46	1.8
69	admin_panel/views.py	Контроллеры и бизнес‑логика пользовательских сценариев	545	22.6
70	dashboard/__init__.py	Маркер пакета dashboard	0	0.0
71	dashboard/admin.py	Регистрация сущностей в админ‑интерфейсе	3	0.1
72	dashboard/apps.py	Конфигурация приложения Django	5	0.1
73	dashboard/models.py	Описание моделей и структуры данных модуля	3	0.1
74	dashboard/tests.py	Автоматизированные тесты модуля	3	0.1
75	dashboard/urls.py	Маршрутизация URL и привязка обработчиков	9	0.4
76	dashboard/views.py	Контроллеры и бизнес‑логика пользовательских сценариев	99	3.6
77	portal/__init__.py	Маркер пакета portal	1	0.1
78	portal/forms.py	Формы ввода, валидация и обработка полей	70	2.0
79	portal/urls.py	Маршрутизация URL и привязка обработчиков	19	1.1
80	portal/utils.py	Вспомогательные функции и сервисные утилиты	34	1.1
81	portal/views.py	Контроллеры и бизнес‑логика пользовательских сценариев	155	5.9
82	templates/accounts/login.html	HTML‑шаблон пользовательского интерфейса	26	1.0
83	templates/accounts/login_base.html	HTML‑шаблон пользовательского интерфейса	52	1.9
84	templates/accounts/password_reset_complete.html	HTML‑шаблон пользовательского интерфейса	6	0.3
85	templates/accounts/password_reset_confirm.html	HTML‑шаблон пользовательского интерфейса	20	0.7
86	templates/accounts/password_reset_done.html	HTML‑шаблон пользовательского интерфейса	8	0.4
87	templates/accounts/password_reset_email.html	HTML‑шаблон пользовательского интерфейса	8	0.4
88	templates/accounts/password_reset_form.html	HTML‑шаблон пользовательского интерфейса	17	0.7
89	templates/accounts/password_reset_subject.txt	Текстовый служебный шаблон	1	0.0
90	templates/admin/base_site.html	HTML‑шаблон пользовательского интерфейса	78	2.8
91	templates/admin/index.html	HTML‑шаблон пользовательского интерфейса	30	1.0
92	templates/admin_panel/access.html	HTML‑шаблон пользовательского интерфейса	42	1.2
93	templates/admin_panel/backup_schedule.html	HTML‑шаблон пользовательского интерфейса	31	1.0
94	templates/admin_panel/backups.html	HTML‑шаблон пользовательского интерфейса	66	2.4
95	templates/admin_panel/data_check.html	HTML‑шаблон пользовательского интерфейса	50	1.7
96	templates/admin_panel/entities/delete.html	HTML‑шаблон пользовательского интерфейса	38	1.5
97	templates/admin_panel/entities/detail.html	HTML‑шаблон пользовательского интерфейса	69	2.4
98	templates/admin_panel/entities/form.html	HTML‑шаблон пользовательского интерфейса	52	2.1
